,번호,발생시각,규모,깊이(km),최대진도,위도,경도,위치
0,1075,2023-07-29 19:07:59,3.5,6,Ⅴ,35.80,127.53,전북 장수군 북쪽 17km 지역
2,1073,2023-07-17 10:37:10,2.4,13,Ⅲ,35.31,128.58,경남 함안군 동북동쪽 16km 지역
7,1068,2023-06-17 22:34:38,2.1,30,Ⅰ,37.86,129.50,강원 동해시 북동쪽 50km 해역
8,1067,2023-06-16 06:03:01,3.1,25,Ⅰ,34.02,124.80,전남 신안군 흑산도 남서쪽 92km 해역
9,1066,2023-06-13 14:23:07,2.0,21,Ⅱ,35.07,128.50,경남 창원시 마산합포구 남남서쪽 15km 해역
11,1064,2023-06-05 12:42:18,2.1,5,Ⅲ,35.77,127.18,전북 완주군 남쪽 15km 지역
13,1062,2023-05-22 03:39:18,2.3,28,Ⅰ,37.87,129.52,강원 동해시 북동쪽 52km 해역
15,1060,2023-05-15 06:27:37,4.5,31,Ⅲ,37.87,129.52,강원 동해시 북동쪽 52km 해역
16,1059,2023-05-14 08:35:25,3.1,30,Ⅰ,37.86,129.51,강원 동해시 북동쪽 51km 해역
17,1058,2023-05-10 16:32:10,2.5,16,Ⅱ,37.49,129.12,강원 동해시 남쪽 4km 지역
18,1057,2023-05-10 13:29:35,2.2,5,Ⅱ,38.13,127.09,경기 연천군 북북동쪽 4km 지역
19,1056,2023-05-10 01:53:36,2.5,15,Ⅱ,37.49,129.14,강원 동해시 남남동쪽 4km 지역
20,1055,2023-05-08 21:12:05,2.1,23,Ⅰ,37.87,129.51,강원 동해시 북동쪽 52km 해역
21,1054,2023-05-08 19:51:34,2.5,17,Ⅲ,37.49,129.13,강원 동해시 남남동쪽 4km 해역
23,1052,2023-04-30 19:03:29,3.1,6,Ⅳ,36.32,127.75,충북 옥천군 동쪽 16km 지역
24,1051,2023-04-28 23:39:24,2.6,27,Ⅰ,37.88,129.51,강원 동해시 북동쪽 53km 해역
25,1050,2023-04-26 12:15:24,2.0,27,Ⅰ,37.87,129.52,강원 동해시 북동쪽 52km 해역
26,1049,2023-04-26 06:51:41,2.2,28,Ⅰ,37.86,129.51,강원 동해시 북동쪽 51km 해역
