,번호,발생시각,규모,깊이(km),최대진도,위도,경도,위치
27,1048,2023-04-25 15:55:55,3.5,33,Ⅰ,37.86,129.49,강원 동해시 북동쪽 50km 해역
28,1047,2023-04-25 13:22:40,2.7,12,Ⅲ,36.66,128.12,경북 문경시 북서쪽 10km 지역
29,1046,2023-04-25 12:02:50,3.1,28,Ⅱ,37.87,129.52,강원 동해시 북동쪽 52km 해역
30,1045,2023-04-25 05:03:39,2.3,25,Ⅰ,37.88,129.54,강원 동해시 북동쪽 54km 해역
31,1044,2023-04-24 21:50:59,2.4,27,Ⅰ,37.87,129.52,강원 동해시 북동쪽 52km 해역
32,1043,2023-04-24 21:41:25,2.1,27,Ⅰ,37.87,129.53,강원 동해시 북동쪽 53km 해역
33,1042,2023-04-24 13:02:10,2.9,31,Ⅰ,37.85,129.47,강원 동해시 북동쪽 48km 해역
34,1041,2023-04-23 21:06:40,2.7,27,Ⅰ,37.87,129.52,강원 동해시 북동쪽 52km 해역
35,1040,2023-04-19 00:45:07,2.6,14,Ⅰ,33.09,125.42,제주 서귀포시 서쪽 108km 해역
36,1039,2023-04-13 05:27:51,2.1,-,Ⅰ,35.11,125.05,전남 신안군 흑산도 북서쪽 59km 해역
37,1038,2023-04-12 22:45:46,2.1,7,Ⅱ,38.13,127.09,경기 연천군 북북동쪽 4km 지역
40,1035,2023-03-30 05:47:56,2.9,22,Ⅰ,35.64,125.22,전북 군산시 어청도 남서쪽 86km 해역
41,1034,2023-03-25 18:35:48,2.4,-,Ⅰ,37.19,125.27,인천 옹진군 연평도 남서쪽 65km 해역
42,1033,2023-03-23 08:35:53,2.0,16,Ⅰ,33.56,125.66,제주 제주시 서쪽 81km 해역
43,1032,2023-03-22 02:09:17,2.0,24,Ⅰ,35.03,124.43,전남 신안군 흑산도 서북서쪽 99km 해역
46,1029,2023-03-07 15:13:32,2.1,16,Ⅰ,36.79,125.63,충남 태안군 서격렬비도 북북동쪽 21km 해역
47,1028,2023-03-03 11:26:54,3.0,8,Ⅳ,35.21,127.94,경남 진주시 서북서쪽 16km 지역
48,1027,2023-02-19 07:29:52,2.5,8,Ⅳ,34.67,127.36,전남 고흥군 북동쪽 11km 지역
49,1026,2023-02-11 08:22:01,2.3,13,Ⅲ,36.52,127.85,충북 보은군 동북동쪽 11km 지역
52,1023,2023-01-21 13:37:39,2.5,15,Ⅰ,36.46,129.63,경북 영덕군 동북동쪽 24km 해역
53,1022,2023-01-14 05:56:44,2.1,11,Ⅰ,35.08,125.07,전남 신안군 흑산도 북서쪽 56km 해역
54,1021,2023-01-13 12:23:51,2.1,-,Ⅰ,35.11,125.06,전남 신안군 흑산도 북서쪽 59km 해역
55,1020,2023-01-09 01:28:15,3.7,19,Ⅳ,37.74,126.20,인천 강화군 서쪽 25km 해역
56,1019,2023-01-07 05:16:03,2.2,14,Ⅰ,34.56,124.95,전남 신안군 흑산도 서남서쪽 45km 해역
57,1018,2023-01-07 05:12:17,2.4,14,Ⅰ,34.52,124.90,전남 신안군 흑산도 서남서쪽 50km 해역
58,1017,2023-01-05 00:28:05,2.4,24,Ⅰ,33.38,127.23,제주 서귀포시 동북동쪽 64km 해역
59,1016,2022-12-25 19:31:07,2.6,14,Ⅲ,36.51,128.65,경북 안동시 남서쪽 10km 지역
60,1015,2022-12-23 19:43:17,2.3,-,Ⅰ,35.14,125.08,전남 신안군 흑산도 북북서쪽 61km 해역
62,1013,2022-12-03 13:22:58,2.9,21,Ⅰ,35.77,129.80,울산 북구 동북동쪽 45km 해역
63,1012,2022-12-01 15:17:58,3.2,14,Ⅲ,36.17,128.27,경북 김천시 동북동쪽 14km 지역
66,1009,2022-11-20 01:01:17,3.3,20,Ⅱ,33.96,125.22,전남 신안군 흑산도 남남서쪽 81km 해역
67,1008,2022-11-18 03:12:14,2.2,6,Ⅰ,35.52,124.35,전남 신안군 흑산도 북서쪽 136km 해역
68,1007,2022-11-13 12:17:41,2.1,17,Ⅰ,35.07,125.07,전남 신안군 흑산도 북서쪽 55km 해역
69,1006,2022-11-08 00:45:45,2.1,8,Ⅰ,33.30,127.78,전남 여수시 거문도 남남동쪽 92km 해역
70,1005,2022-11-05 13:21:22,2.5,11,Ⅲ,36.97,126.38,충남 서산시 북북서쪽 22km 해역
71,1004,2022-11-03 11:36:00,2.1,10,Ⅰ,35.47,124.90,전남 신안군 흑산도 북북서쪽 101km 해역
72,1003,2022-11-01 02:27:52,2.9,14,Ⅴ,36.88,127.88,충북 괴산군 북동쪽 11km 지역
73,1002,2022-10-29 08:29:18,2.9,11,Ⅳ,36.88,127.88,충북 괴산군 북동쪽 11km 지역
74,1001,2022-10-29 08:29:09,2.2,13,Ⅳ,36.88,127.87,충북 괴산군 북동쪽 10km 지역
75,1000,2022-10-29 08:27:49,4.1,12,Ⅴ,36.88,127.88,충북 괴산군 북동쪽 11km 지역
76,999,2022-10-29 08:27:33,3.5,13,Ⅴ,36.88,127.88,충북 괴산군 북동쪽 11km 지역
79,996,2022-10-01 04:37:53,2.7,14,Ⅲ,36.94,127.13,충남 천안시 서북구 북북서쪽 7km 지역
80,995,2022-09-23 07:40:30,2.3,-,Ⅰ,35.69,124.59,충남 태안군 서격렬비도 남서쪽 134km 해역
82,993,2022-09-11 16:28:35,2.4,13,Ⅰ,36.46,129.63,경북 영덕군 동북동쪽 24km 해역
84,991,2022-09-03 00:44:46,2.0,18,Ⅰ,36.39,129.89,경북 영덕군 동쪽 47km 해역
85,990,2022-09-01 08:33:53,2.5,-,Ⅰ,35.11,125.07,전남 신안군 흑산도 북북서쪽 58km 해역
86,989,2022-08-28 01:54:23,2.4,12,Ⅰ,37.17,125.42,인천 옹진군 연평도 남남서쪽 60km 해역
87,988,2022-08-24 18:31:24,2.1,20,Ⅰ,36.47,129.62,경북 영덕군 동북동쪽 24km 해역
88,987,2022-08-22 13:29:26,2.4,-,Ⅰ,34.75,124.30,전남 신안군 흑산도 서쪽 103km 해역
90,985,2022-08-12 19:37:47,2.7,6,Ⅰ,37.41,124.53,인천 옹진군 백령도 남남서쪽 62km 해역
91,984,2022-08-03 07:55:25,3.1,8,Ⅰ,33.14,127.67,전남 여수시 거문도 남남동쪽 104km 해역
93,982,2022-07-29 05:36:56,2.6,13,Ⅳ,35.39,128.24,경남 의령군 북북서쪽 8km 지역
96,979,2022-07-21 18:38:09,2.3,10,Ⅲ,36.80,126.25,충남 태안군 북서쪽 7km 지역
97,978,2022-07-21 04:46:57,2.3,13,Ⅲ,35.79,129.20,경북 경주시 남남서쪽 8km 지역
98,977,2022-07-20 16:19:50,2.0,17,Ⅱ,36.29,126.87,충남 부여군 서북서쪽 4km 지역
99,976,2022-07-16 13:53:36,2.1,14,Ⅰ,33.64,128.11,전남 여수시 거문도 동남동쪽 85km 해역
100,975,2022-07-12 10:38:30,2.6,6,Ⅰ,33.13,127.66,제주 서귀포시 동쪽 103km 해역
101,974,2022-07-12 10:09:03,2.7,7,Ⅰ,33.11,127.66,제주 서귀포시 동쪽 104km 해역
102,973,2022-07-12 09:56:02,2.3,6,Ⅰ,33.12,127.64,제주 서귀포시 동쪽 102km 해역
103,972,2022-07-12 00:44:03,2.2,10,Ⅰ,33.14,127.66,제주 서귀포시 동쪽 103km 해역
104,971,2022-07-12 00:41:25,2.1,10,Ⅰ,33.14,127.65,제주 서귀포시 동쪽 102km 해역
105,970,2022-07-03 07:54:23,2.6,13,Ⅰ,33.31,127.45,전남 여수시 거문도 남쪽 81km 해역
106,969,2022-06-30 22:51:52,2.3,6,Ⅳ,37.02,128.98,경북 봉화군 동북동쪽 26km 지역
107,968,2022-06-30 02:55:34,2.1,18,Ⅰ,35.90,129.73,경북 포항시 남구 동남동쪽 35km 해역
108,967,2022-06-29 15:26:06,2.3,21,Ⅰ,35.89,129.70,경북 포항시 남구 동남동쪽 33km 해역
109,966,2022-06-02 20:48:21,2.6,26,Ⅰ,38.12,130.98,경북 울릉군 울릉도 북쪽 71km 해역
110,965,2022-05-13 06:50:56,2.3,21,Ⅰ,33.34,127.22,제주 서귀포시 동쪽 62km 해역
113,962,2022-04-18 14:22:38,2.3,11,Ⅲ,37.26,126.10,인천 옹진군 서남서쪽 52km 지역
114,961,2022-04-17 23:33:29,2.3,9,Ⅲ,35.22,128.60,경남 창원시 마산회원구 동쪽 2km 지역
115,960,2022-04-16 02:08:34,2.6,18,Ⅲ,34.75,127.26,전남 고흥군 북쪽 16km 지역
116,959,2022-04-12 14:56:28,2.4,14,Ⅲ,36.82,129.47,경북 울진군 남남동쪽 20km 해역
117,958,2022-04-10 02:45:46,3.4,18,Ⅲ,36.45,129.62,경북 영덕군 동쪽 23km 해역
118,957,2022-04-09 10:55:42,2.2,19,Ⅱ,36.54,128.08,경북 상주시 북북서쪽 16km 지역
119,956,2022-04-03 14:19:19,2.0,11,Ⅲ,35.69,129.35,경북 경주시 남남동쪽 22km 지역
120,955,2022-03-16 18:18:18,2.3,-,Ⅰ,33.70,125.06,전남 신안군 흑산도 남남서쪽 113km 해역
122,953,2022-03-06 18:40:32,2.5,18,Ⅰ,37.31,129.54,강원 삼척시 동남동쪽 37km 해역
123,952,2022-03-05 22:16:21,2.4,12,Ⅲ,36.39,127.13,충남 공주시 남쪽 6km 지역
126,949,2022-02-24 12:07:10,2.2,21,Ⅰ,34.00,127.59,전남 여수시 거문도 동쪽 25km 해역
131,944,2022-02-10 17:20:34,2.2,19,Ⅲ,35.29,126.59,전남 영광군 동북동쪽 7km 지역
132,943,2022-02-08 15:57:13,2.9,16,Ⅰ,35.07,125.06,전남 신안군 흑산도 북서쪽 55km 해역
133,942,2022-02-04 02:47:44,2.3,16,Ⅰ,37.41,129.51,강원 삼척시 동쪽 31km 해역
134,941,2022-02-02 12:04:55,2.4,19,Ⅲ,35.72,128.99,경북 청도군 동북동쪽 24km 지역
135,940,2022-01-28 06:46:53,2.3,9,Ⅱ,34.37,127.30,전남 고흥군 남쪽 26km 해역
138,937,2021-12-17 06:22:10,3.2,18,Ⅲ,33.12,126.18,제주 서귀포시 서남서쪽 38km 해역
139,936,2021-12-15 22:02:14,2.3,10,Ⅳ,35.79,127.80,경남 거창군 북서쪽 15km 지역
140,935,2021-12-15 15:06:47,2.8,14,Ⅱ,33.14,126.15,제주 서귀포시 서남서쪽 40km 해역
141,934,2021-12-14 17:19:14,4.9,17,Ⅴ,33.09,126.16,제주 서귀포시 서남서쪽 41km 해역
142,933,2021-12-09 10:57:47,2.6,17,Ⅰ,33.85,125.51,전남 신안군 흑산도 남쪽 91km 해역
143,932,2021-12-04 12:33:22,2.3,20,Ⅰ,38.02,124.52,인천 옹진군 백령도 서북서쪽 16km 해역
144,931,2021-11-22 05:19:31,2.1,7,Ⅱ,35.48,127.11,전북 순창군 북북서쪽 12km 지역
145,930,2021-11-19 02:35:08,2.2,11,Ⅰ,33.85,124.77,전남 신안군 흑산도 남남서쪽 109km 해역
146,929,2021-11-17 01:39:11,2.9,19,Ⅰ,35.66,129.75,울산 동구 동북동쪽 35km 해역
147,928,2021-11-16 20:53:24,2.1,8,Ⅰ,34.50,125.90,전남 진도군 서쪽 33km 해역
148,927,2021-11-16 11:57:58,2.1,18,Ⅰ,35.06,125.06,전남 신안군 흑산도 북서쪽 54km 해역
149,926,2021-11-12 01:31:05,2.1,8,Ⅱ,36.15,129.38,경북 포항시 북구 북쪽 12km 지역
150,925,2021-10-22 06:51:48,2.4,14,Ⅲ,36.90,128.22,충북 제천시 남쪽 26km 지역
151,924,2021-10-19 22:13:31,2.2,22,Ⅰ,35.90,129.75,경북 포항시 남구 동남동쪽 37km 해역
157,918,2021-10-10 02:18:51,2.1,7,Ⅰ,35.10,125.06,전남 신안군 흑산도 북서쪽 58km 해역
158,917,2021-10-06 21:55:48,2.5,13,Ⅲ,35.25,127.86,경남 하동군 북북동쪽 23km 지역
159,916,2021-09-23 12:02:43,2.6,16,Ⅳ,35.42,128.49,경남 창녕군 남쪽 14km 지역
160,915,2021-09-20 06:58:49,2.2,8,Ⅲ,34.88,127.25,전남 보성군 북동쪽 20km 지역
161,914,2021-09-17 05:30:13,2.2,10,Ⅱ,36.71,126.11,충남 태안군 서남서쪽 17km 해역
162,913,2021-09-14 03:36:01,2.2,16,Ⅲ,35.41,128.78,경남 밀양시 남남동쪽 11km 지역
163,912,2021-09-12 02:04:46,2.1,13,Ⅱ,35.53,128.53,경남 창녕군 동남동쪽 4km 지역
166,909,2021-08-29 18:47:20,2.6,15,Ⅰ,36.98,125.02,충남 태안군 서격렬비도 북서쪽 62km 해역
167,908,2021-08-29 13:03:23,2.2,9,Ⅲ,35.31,128.49,경남 함안군 동북동쪽 9km 지역
168,907,2021-08-28 07:03:22,2.2,15,Ⅲ,35.00,127.73,전남 광양시 북북동쪽 7km 지역
169,906,2021-08-26 15:58:14,2.3,17,Ⅰ,35.07,125.12,전남 신안군 흑산도 북북서쪽 52km 해역
170,905,2021-08-21 09:40:40,4.0,7,Ⅱ,35.70,124.70,전북 군산시 어청도 서남서쪽 124km 해역
172,903,2021-08-18 16:57:11,2.1,-,Ⅰ,35.10,129.84,부산 기장군 동남동쪽 58km 해역
173,902,2021-08-15 09:32:43,2.0,18,Ⅰ,35.10,129.78,부산 기장군 동남동쪽 53km 해역
174,901,2021-08-01 14:19:26,2.2,13,Ⅰ,35.65,129.53,울산 북구 동북동쪽 17km 해역
175,900,2021-07-31 05:17:10,2.5,22,Ⅲ,35.65,128.40,대구 달성군 남남서쪽 14km 지역
176,899,2021-07-26 06:50:56,2.2,14,Ⅲ,36.32,128.21,경북 상주시 남남동쪽 11km 지역
177,898,2021-07-07 06:57:27,2.3,20,Ⅱ,36.77,128.46,경북 예천군 북쪽 14km 지역
178,897,2021-06-14 22:42:17,2.4,20,Ⅰ,35.81,129.77,경북 포항시 남구 동남동쪽 43km 해역
180,895,2021-06-13 06:13:51,2.0,26,Ⅰ,36.97,130.34,경북 울릉군 울릉도 남서쪽 76km 해역
181,894,2021-06-07 18:34:02,2.1,13,Ⅰ,33.68,128.07,전남 여수시 거문도 동남동쪽 80km 해역
183,892,2021-05-26 06:13:24,2.2,-,Ⅰ,35.83,124.56,충남 태안군 서격렬비도 남서쪽 124km 해역
184,891,2021-05-13 06:04:28,2.0,10,Ⅲ,35.89,127.33,전북 완주군 동쪽 15km 지역
185,890,2021-05-04 22:42:08,2.0,19,Ⅰ,35.89,129.67,경북 포항시 남구 동남동쪽 31km 해역
186,889,2021-04-30 16:15:04,2.1,7,Ⅲ,35.52,128.88,경남 밀양시 동쪽 12km 지역
187,888,2021-04-29 05:12:25,2.0,18,Ⅰ,35.65,129.83,울산 동구 동북동쪽 41km 해역
188,887,2021-04-28 12:00:40,2.5,20,Ⅰ,35.65,129.79,울산 동구 동북동쪽 37km 해역
189,886,2021-04-25 17:07:59,2.3,5,Ⅰ,37.48,124.36,인천 옹진군 백령도 남남서쪽 60km 해역
191,884,2021-04-20 02:13:27,2.6,15,Ⅰ,35.08,125.05,전남 신안군 흑산도 북서쪽 57km 해역
193,882,2021-04-19 14:20:27,3.7,15,Ⅱ,35.07,125.08,전남 신안군 흑산도 북서쪽 54km 해역
194,881,2021-04-16 01:43:23,2.2,11,Ⅲ,37.29,127.71,경기 여주시 동쪽 7km 지역
195,880,2021-04-13 21:56:15,2.0,13,Ⅲ,36.02,126.91,전북 익산시 북북서쪽 9km 지역
196,879,2021-03-16 02:51:52,2.6,18,Ⅲ,35.76,129.19,경북 경주시 남남서쪽 11km 지역
197,878,2021-02-21 09:03:34,2.2,18,Ⅱ,35.47,126.34,전남 영광군 북서쪽 27km 해역
198,877,2021-02-15 18:59:25,2.5,14,Ⅳ,35.99,126.84,전북 군산시 동북동쪽 10km 지역
199,876,2021-02-10 19:28:18,2.1,9,Ⅱ,37.32,126.24,인천 옹진군 서남서쪽 38km 해역
202,873,2021-02-06 04:40:03,2.7,5,Ⅳ,35.81,127.53,전북 장수군 북쪽 18km 지역
203,872,2021-02-03 12:17:56,2.2,8,Ⅲ,37.32,126.24,인천 옹진군 서남서쪽 38km 해역
204,871,2021-01-24 06:23:05,2.1,11,Ⅰ,35.84,125.14,전북 군산시 어청도 서남서쪽 81km 해역
205,870,2021-01-14 08:17:28,2.1,-,Ⅰ,36.86,125.43,충남 태안군 서격렬비도 북북서쪽 30km 해역
206,869,2020-12-23 21:28:20,2.2,12,Ⅲ,37.73,126.73,경기 파주시 남서쪽 6km 지역
207,868,2020-12-18 17:17:23,2.7,16,Ⅱ,37.66,129.32,강원 동해시 북동쪽 24km 해역
211,864,2020-11-15 00:00:29,2.1,17,Ⅲ,35.76,129.18,경북 경주시 남남서쪽 11km 지역
212,863,2020-11-08 15:26:09,2.9,9,Ⅳ,36.41,128.22,경북 상주시 동쪽 5km 지역
213,862,2020-11-06 18:27:23,2.0,8,Ⅱ,36.43,128.14,경북 상주시 북서쪽 3km 지역
214,861,2020-11-04 16:50:30,2.4,22,Ⅰ,35.84,129.79,경북 포항시 남구 동남동쪽 43km 해역
215,860,2020-11-04 07:23:48,2.2,23,Ⅰ,35.83,129.78,경북 포항시 남구 동남동쪽 43km 해역
217,858,2020-10-25 19:10:49,2.5,17,Ⅰ,33.89,125.65,전남 진도군 남서쪽 87km 해역
218,857,2020-10-24 15:09:01,2.1,21,Ⅰ,33.93,127.45,전남 여수시 거문도 남동쪽 16km 해역
219,856,2020-10-09 04:38:14,2.1,15,Ⅲ,35.75,129.17,경북 경주시 남남서쪽 13km 지역
220,855,2020-10-07 04:05:32,2.1,22,Ⅰ,33.92,127.44,전남 여수시 거문도 남동쪽 16km 해역
224,851,2020-09-22 20:08:54,2.1,15,Ⅱ,36.60,129.37,경북 영덕군 북쪽 21km 지역
225,850,2020-09-20 01:22:14,2.2,17,Ⅲ,36.51,127.14,충남 공주시 북북동쪽 7km 지역
226,849,2020-09-13 00:54:03,2.9,15,Ⅰ,37.64,124.60,인천 옹진군 백령도 남남서쪽 35km 해역
227,848,2020-09-12 13:31:05,2.4,15,Ⅱ,36.03,128.40,경북 칠곡군 북쪽 4km 지역
228,847,2020-09-02 19:43:06,2.3,-,Ⅱ,34.38,126.20,전남 진도군 남남서쪽 13km 지역
232,843,2020-08-01 13:15:06,2.0,19,Ⅱ,36.77,128.48,경북 예천군 북쪽 13km 지역
234,841,2020-07-25 00:34:06,2.2,7,Ⅰ,34.06,125.54,전남 신안군 흑산도 남쪽 66km 해역
235,840,2020-07-20 19:02:00,2.0,11,Ⅰ,34.53,128.14,경남 남해군 남남동쪽 41km 해역
236,839,2020-07-15 15:20:47,2.4,-,Ⅰ,34.88,124.68,전남 신안군 흑산도 서북서쪽 77km 해역
237,838,2020-07-11 22:38:55,2.7,-,Ⅰ,37.88,129.58,강원 동해시 북동쪽 57km 해역
238,837,2020-07-07 14:08:23,3.3,12,Ⅲ,37.19,125.55,인천 옹진군 연평도 남남서쪽 54km 해역
239,836,2020-07-03 13:59:31,2.3,6,Ⅲ,37.18,128.71,강원 영월군 동쪽 22km 지역
241,834,2020-06-23 19:58:05,2.1,6,Ⅲ,37.86,126.90,경기 파주시 북동쪽 15km 지역
242,833,2020-06-21 09:49:52,2.3,9,Ⅱ,38.47,128.52,강원 고성군 북북동쪽 11km 해역
243,832,2020-06-08 00:52:10,2.1,5,Ⅲ,36.01,128.01,경북 김천시 남남서쪽 17km 지역
245,830,2020-05-27 19:23:28,2.8,6,Ⅲ,36.01,128.01,경북 김천시 남남서쪽 17km 지역
247,828,2020-05-13 15:19:02,2.8,12,Ⅲ,36.10,127.34,전북 완주군 북동쪽 27km 지역
250,825,2020-05-09 01:57:39,2.2,21,Ⅱ,34.66,126.40,전남 해남군 서북서쪽 21km 지역
251,824,2020-05-07 02:07:31,2.1,17,Ⅰ,34.77,124.68,전남 신안군 흑산도 서쪽 73km 해역
253,822,2020-05-03 22:07:14,3.1,21,Ⅲ,34.66,126.40,전남 해남군 서북서쪽 21km 지역
254,821,2020-05-02 02:57:02,2.3,21,Ⅱ,34.66,126.40,전남 해남군 서북서쪽 21km 지역
255,820,2020-04-30 07:13:13,2.4,21,Ⅲ,34.66,126.40,전남 해남군 서북서쪽 21km 지역
257,818,2020-04-28 12:52:01,2.1,22,Ⅱ,34.66,126.41,전남 해남군 서북서쪽 20km 지역
258,817,2020-04-28 12:06:53,2.4,10,Ⅱ,36.16,127.43,충남 금산군 북서쪽 8km 지역
259,816,2020-04-27 11:07:10,2.8,6,Ⅳ,35.80,127.53,전북 장수군 북쪽 17km 지역
260,815,2020-04-24 02:07:22,2.3,15,Ⅰ,35.30,125.54,전남 신안군 흑산도 북쪽 73km 해역
261,814,2020-04-22 20:54:26,2.1,9,Ⅰ,38.11,130.01,강원 동해시 북동쪽 102km 해역
262,813,2020-04-18 07:36:28,2.3,14,Ⅱ,37.58,126.14,인천 강화군 서남서쪽 36km 해역
264,811,2020-03-20 16:02:45,2.7,9,Ⅲ,35.39,128.01,경남 산청군 동남동쪽 13km 지역
265,810,2020-03-10 01:16:33,2.0,12,Ⅰ,35.44,125.54,전북 군산시 어청도 남남서쪽 85km 해역
268,807,2020-02-16 20:03:35,2.7,19,Ⅰ,36.26,130.49,경북 영덕군 동쪽 102km 해역
269,806,2020-02-09 14:41:26,2.4,9,Ⅲ,35.77,129.03,경북 경주시 서남서쪽 18km 지역
270,805,2020-01-30 00:52:52,3.2,21,Ⅲ,36.59,128.12,경북 상주시 북쪽 20km 지역
272,803,2020-01-15 22:46:11,2.1,8,Ⅱ,37.11,128.29,충북 제천시 동남동쪽 9km 지역
273,802,2020-01-08 06:03:00,2.0,17,Ⅰ,35.91,128.38,경북 성주군 동쪽 9km 지역
274,801,2019-12-30 01:44:02,2.1,19,Ⅱ,35.56,128.90,경남 밀양시 동북동쪽 15km 지역
275,800,2019-12-30 00:32:08,3.5,20,Ⅳ,35.56,128.90,경남 밀양시 동북동쪽 15km 지역
276,799,2019-12-29 08:43:26,2.3,17,Ⅰ,33.33,127.16,제주 서귀포시 동쪽 56km 해역
277,798,2019-12-24 06:19:16,2.4,18,Ⅰ,33.29,127.16,제주 서귀포시 동쪽 56km 해역
279,796,2019-12-15 14:15:40,2.0,11,Ⅲ,37.16,126.22,충남 서산시 북북서쪽 46km 해역
280,795,2019-12-12 20:29:55,2.1,21,Ⅰ,33.55,126.92,제주 제주시 동쪽 36km 해역
281,794,2019-12-08 12:09:24,2.0,-,Ⅰ,35.12,124.96,전남 신안군 흑산도 북서쪽 70km 해역
282,793,2019-12-04 17:19:20,2.6,9,Ⅰ,33.94,124.70,전남 신안군 흑산도 남서쪽 106km 해역
283,792,2019-11-29 12:04:43,2.0,21,Ⅰ,36.86,129.79,경북 울진군 동남동쪽 38km 해역
284,791,2019-11-21 19:55:50,2.4,12,Ⅰ,33.83,128.09,전남 여수시 거문도 동남동쪽 75km 해역
285,790,2019-11-21 06:08:07,2.3,6,Ⅰ,35.13,124.93,전남 신안군 흑산도 북서쪽 73km 해역
286,789,2019-11-09 23:14:14,2.4,9,Ⅰ,37.62,124.65,인천 옹진군 백령도 남쪽 37km 해역
287,788,2019-10-31 16:29:34,2.1,-,Ⅲ,37.24,126.11,인천 옹진군 서남서쪽 52km 지역
288,787,2019-10-30 02:01:41,2.3,5,Ⅰ,36.68,128.61,경북 안동시 북서쪽 16km 지역
289,786,2019-10-27 15:37:26,3.4,11,Ⅳ,35.41,128.49,경남 창녕군 남쪽 15km 지역
290,785,2019-10-20 00:05:10,2.2,10,Ⅰ,33.41,125.13,제주 제주시 서쪽 130km 해역
292,783,2019-10-13 19:52:44,2.0,20,Ⅰ,36.53,129.65,경북 영덕군 동북동쪽 28km 해역
293,782,2019-10-12 20:46:03,2.5,17,Ⅰ,35.18,129.77,울산 동구 남동쪽 48km 해역
294,781,2019-10-04 03:57:23,2.6,9,Ⅲ,35.47,128.86,경남 밀양시 동남동쪽 11km 지역
296,779,2019-09-26 02:57:31,2.3,8,Ⅰ,36.09,129.33,경북 포항시 북구 북북서쪽 6km 지역
297,778,2019-09-22 11:07:27,3.3,17,Ⅱ,34.16,125.16,전남 신안군 흑산도 남남서쪽 62km 해역
299,776,2019-09-19 18:19:05,2.6,6,Ⅰ,33.65,124.99,전남 신안군 흑산도 남남서쪽 120km 해역
300,775,2019-09-11 04:52:07,2.0,9,Ⅰ,38.13,127.09,경기 연천군 북북동쪽 4km 지역
301,774,2019-09-07 23:38:06,2.0,14,Ⅰ,35.48,129.54,울산 동구 동남동쪽 12km 해역
303,772,2019-08-28 14:22:29,2.5,26,Ⅰ,36.24,130.01,경북 영덕군 동남동쪽 61km 해역
304,771,2019-08-23 19:50:48,2.7,7,Ⅲ,37.96,124.69,인천 옹진군 백령도 북동쪽 1km 지역
305,770,2019-08-20 10:34:52,2.8,22,Ⅰ,33.57,124.81,전남 신안군 흑산도 남남서쪽 135km 해역
306,769,2019-08-11 18:19:50,2.1,10,Ⅰ,37.97,124.63,인천 옹진군 백령도 서북서쪽 5km 지역
307,768,2019-08-10 22:45:57,2.3,18,Ⅰ,33.78,126.92,전남 여수시 거문도 남서쪽 45km 해역
309,766,2019-07-30 05:45:15,2.1,6,Ⅱ,35.00,128.30,경남 고성군 북서쪽 4km 지역
310,765,2019-07-25 01:46:09,2.8,13,Ⅰ,37.35,129.84,경북 울진군 북동쪽 56km 해역
311,764,2019-07-22 01:15:45,2.0,13,Ⅰ,35.82,125.56,전북 군산시 어청도 남서쪽 50km 해역
312,763,2019-07-21 11:04:18,3.9,14,Ⅳ,36.50,128.10,경북 상주시 북북서쪽 11km 지역
