,번호,발생시각,규모,깊이(km),최대진도,위도,경도,위치
71,331,2022-11-03 11:36:00,2.1,10,Ⅰ,35.47,124.90,전남 신안군 흑산도 북북서쪽 101km 해역
72,330,2022-11-01 02:27:52,2.9,14,Ⅴ,36.88,127.88,충북 괴산군 북동쪽 11km 지역
73,329,2022-10-29 08:29:18,2.9,11,Ⅳ,36.88,127.88,충북 괴산군 북동쪽 11km 지역
74,328,2022-10-29 08:29:09,2.2,13,Ⅳ,36.88,127.87,충북 괴산군 북동쪽 10km 지역
75,327,2022-10-29 08:27:49,4.1,12,Ⅴ,36.88,127.88,충북 괴산군 북동쪽 11km 지역
76,326,2022-10-29 08:27:33,3.5,13,Ⅴ,36.88,127.88,충북 괴산군 북동쪽 11km 지역
79,323,2022-10-01 04:37:53,2.7,14,Ⅲ,36.94,127.13,충남 천안시 서북구 북북서쪽 7km 지역
80,322,2022-09-23 07:40:30,2.3,-,Ⅰ,35.69,124.59,충남 태안군 서격렬비도 남서쪽 134km 해역
82,320,2022-09-11 16:28:35,2.4,13,Ⅰ,36.46,129.63,경북 영덕군 동북동쪽 24km 해역
84,318,2022-09-03 00:44:46,2.0,18,Ⅰ,36.39,129.89,경북 영덕군 동쪽 47km 해역
85,317,2022-09-01 08:33:53,2.5,-,Ⅰ,35.11,125.07,전남 신안군 흑산도 북북서쪽 58km 해역
86,316,2022-08-28 01:54:23,2.4,12,Ⅰ,37.17,125.42,인천 옹진군 연평도 남남서쪽 60km 해역
87,315,2022-08-24 18:31:24,2.1,20,Ⅰ,36.47,129.62,경북 영덕군 동북동쪽 24km 해역
88,314,2022-08-22 13:29:26,2.4,-,Ⅰ,34.75,124.30,전남 신안군 흑산도 서쪽 103km 해역
90,312,2022-08-12 19:37:47,2.7,6,Ⅰ,37.41,124.53,인천 옹진군 백령도 남남서쪽 62km 해역
91,311,2022-08-03 07:55:25,3.1,8,Ⅰ,33.14,127.67,전남 여수시 거문도 남남동쪽 104km 해역
93,309,2022-07-29 05:36:56,2.6,13,Ⅳ,35.39,128.24,경남 의령군 북북서쪽 8km 지역
96,306,2022-07-21 18:38:09,2.3,10,Ⅲ,36.80,126.25,충남 태안군 북서쪽 7km 지역
97,305,2022-07-21 04:46:57,2.3,13,Ⅲ,35.79,129.20,경북 경주시 남남서쪽 8km 지역
98,304,2022-07-20 16:19:50,2.0,17,Ⅱ,36.29,126.87,충남 부여군 서북서쪽 4km 지역
99,303,2022-07-16 13:53:36,2.1,14,Ⅰ,33.64,128.11,전남 여수시 거문도 동남동쪽 85km 해역
100,302,2022-07-12 10:38:30,2.6,6,Ⅰ,33.13,127.66,제주 서귀포시 동쪽 103km 해역
