,번호,발생시각,규모,깊이(km),최대진도,위도,경도,위치
313,89,2019-07-20 00:38:40,2.0,15,Ⅰ,36.33,128.08,경북 상주시 남서쪽 11km 지역
315,87,2019-07-08 14:04:44,2.2,20,Ⅰ,37.89,129.55,강원 동해시 북동쪽 56km 해역
316,86,2019-07-02 20:51:51,2.7,21,Ⅰ,35.88,129.69,경북 포항시 남구 동남동쪽 33km 해역
320,82,2019-06-23 18:41:15,2.4,16,Ⅲ,36.69,128.41,경북 예천군 북서쪽 5km 지역
326,76,2019-06-15 22:07:11,2.2,21,Ⅲ,35.71,126.36,전북 부안군 서쪽 34km 해역
327,75,2019-06-11 23:18:53,2.5,19,Ⅲ,35.76,129.19,경북 경주시 남남서쪽 9km 지역
330,72,2019-05-13 23:50:38,2.4,17,Ⅰ,33.35,127.17,제주 서귀포시 동쪽 58km 해역
331,71,2019-05-10 16:05:58,2.0,12,Ⅰ,36.56,129.64,경북 영덕군 동북동쪽 29km 해역
332,70,2019-05-05 16:57:04,2.1,18,Ⅰ,36.55,129.54,경북 영덕군 북동쪽 22km 해역
333,69,2019-05-04 05:43:15,2.4,6,Ⅰ,37.42,124.56,인천 옹진군 백령도 남쪽 60km 해역
334,68,2019-04-27 01:10:06,2.5,17,Ⅰ,33.79,126.09,제주 제주시 북서쪽 52km 해역
335,67,2019-04-22 05:45:19,3.8,21,Ⅲ,36.86,129.80,경북 울진군 동남동쪽 38km 해역
336,66,2019-04-19 11:16:43,4.3,32,Ⅳ,37.88,129.54,강원 동해시 북동쪽 54km 해역
337,65,2019-03-28 16:21:56,2.2,16,Ⅰ,33.62,126.94,제주 제주시 동북동쪽 40km 해역
338,64,2019-03-21 07:13:35,2.7,6,Ⅰ,37.56,125.20,인천 옹진군 연평도 서남서쪽 45km 해역
341,61,2019-03-17 19:28:00,2.3,13,Ⅱ,36.34,127.87,충북 옥천군 동쪽 27km 지역
342,60,2019-03-13 12:20:20,2.4,13,Ⅰ,33.63,126.93,제주 제주시 동북동쪽 40km 해역
343,59,2019-03-11 04:27:00,2.4,15,Ⅰ,33.47,126.40,제주 제주시 서남서쪽 13km 지역
344,58,2019-03-09 15:06:45,2.0,12,Ⅱ,36.82,128.73,경북 봉화군 남쪽 8km 지역
346,56,2019-02-27 21:22:35,2.2,12,Ⅰ,37.31,124.74,인천 옹진군 백령도 남쪽 72km 해역
347,55,2019-02-25 09:30:34,2.9,10,Ⅲ,36.77,129.03,경북 영양군 북북서쪽 14km 지역
348,54,2019-02-20 22:14:47,2.9,14,Ⅰ,36.51,125.50,충남 태안군 서격렬비도 남남서쪽 12km 해역
349,53,2019-02-18 05:33:10,2.4,19,Ⅱ,36.72,128.41,경북 예천군 북북서쪽 8km 지역
350,52,2019-02-17 22:19:01,2.6,12,Ⅲ,33.29,126.25,제주 서귀포시 서쪽 29km 지역
352,50,2019-02-10 14:12:38,2.5,21,Ⅰ,36.16,129.85,경북 포항시 북구 동북동쪽 45km 해역
353,49,2019-02-10 12:53:38,4.1,21,Ⅲ,36.16,129.90,경북 포항시 북구 동북동쪽 50km 해역
354,48,2019-01-31 19:57:45,2.2,19,Ⅰ,36.53,129.66,경북 영덕군 동북동쪽 29km 해역
355,47,2019-01-17 21:34:02,2.7,17,Ⅰ,33.94,127.62,전남 여수시 거문도 동남동쪽 30km 해역
356,46,2019-01-13 21:09:20,2.0,17,Ⅲ,37.02,127.93,충북 충주시 북쪽 3km 지역
357,45,2019-01-10 05:31:05,2.5,17,Ⅳ,35.79,129.20,경북 경주시 남남서쪽 5km 지역
358,44,2019-01-09 03:10:23,3.7,18,Ⅰ,37.37,124.23,인천 옹진군 백령도 남남서쪽 76km 해역
359,43,2019-01-02 13:12:27,2.2,5,Ⅰ,36.77,128.31,경북 문경시 북북동쪽 23km 지역
361,41,2019-01-01 06:49:51,3.1,19,Ⅲ,36.53,129.66,경북 영덕군 동북동쪽 29km 해역
362,40,2018-12-27 03:10:48,2.0,5,Ⅱ,36.99,128.89,경북 봉화군 북동쪽 18km 지역
363,39,2018-12-21 16:06:12,2.7,12,Ⅲ,35.76,127.95,경남 거창군 북북동쪽 9km 지역
364,38,2018-12-20 13:23:24,2.0,21,Ⅰ,35.88,129.69,경북 포항시 남구 동남동쪽 33km 해역
365,37,2018-12-17 02:16:27,2.2,20,Ⅱ,36.53,129.65,경북 영덕군 동북동쪽 28km 해역
366,36,2018-12-12 03:43:04,2.1,12,Ⅰ,35.72,126.78,전북 부안군 동남동쪽 4km 지역
367,35,2018-12-09 14:06:18,2.2,19,Ⅱ,35.86,129.69,경북 포항시 남구 동남동쪽 34km 해역
368,34,2018-12-08 04:16:41,2.4,17,Ⅰ,36.31,128.25,경북 구미시 북북서쪽 23km 지역
369,33,2018-12-05 08:28:20,2.5,17,Ⅰ,36.45,129.62,경북 영덕군 동쪽 23km 해역
370,32,2018-12-05 08:01:08,2.1,17,Ⅰ,36.45,129.62,경북 영덕군 동쪽 23km 해역
371,31,2018-11-29 14:52:39,2.1,17,Ⅰ,37.32,129.69,경북 울진군 북동쪽 44km 해역
372,30,2018-11-29 03:05:23,3.3,13,Ⅰ,34.94,124.53,전남 신안군 흑산도 서북서쪽 92km 해역
373,29,2018-11-25 23:27:27,2.1,12,Ⅰ,33.15,126.09,제주 서귀포시 서남서쪽 45km 해역
376,26,2018-11-22 18:36:18,2.2,19,Ⅰ,35.91,129.71,경북 포항시 남구 동남동쪽 33km 해역
377,25,2018-11-20 14:10:27,2.3,17,Ⅰ,33.52,127.29,전남 여수시 거문도 남쪽 57km 해역
378,24,2018-11-19 03:34:49,2.1,19,,36.42,127.30,대전 유성구 북서쪽 8km 지역
381,21,2018-11-04 17:04:44,2.5,15,Ⅱ,36.08,128.25,경북 김천시 동남동쪽 14km 지역
382,20,2018-10-25 05:53:46,2.3,16,,35.76,129.19,경북 경주시 남남서쪽 9km 지역
384,18,2018-10-22 12:09:26,2.1,11,Ⅰ,35.61,124.94,전북 군산시 어청도 서남서쪽 109km 해역
385,17,2018-10-20 01:22:40,2.6,-,Ⅰ,37.26,129.96,경북 울진군 동북동쪽 58km 해역
386,16,2018-10-17 03:14:44,2.0,14,Ⅱ,36.16,127.30,충남 논산시 동쪽 18km 지역
387,15,2018-10-14 14:46:03,2.4,-,Ⅰ,37.49,124.58,인천 옹진군 백령도 남쪽 52km 해역
390,12,2018-09-25 04:05:47,2.5,16,Ⅰ,33.46,125.80,제주 제주시 서쪽 68km 해역
392,10,2018-09-17 10:52:48,2.4,12,Ⅱ,36.05,129.69,경북 포항시 북구 동쪽 29km 해역
393,9,2018-09-15 21:45:44,2.4,-,Ⅰ,37.07,129.91,경북 울진군 동쪽 46km 해역
394,8,2018-09-14 09:08:13,2.2,14,Ⅱ,36.78,128.36,경북 문경시 북동쪽 26km 지역
395,7,2018-08-29 05:01:29,2.5,11,Ⅰ,37.00,129.32,경북 울진군 서쪽 7km 지역
396,6,2018-08-24 21:28:24,2.1,18,Ⅰ,34.33,127.42,전남 고흥군 남남동쪽 34km 해역
398,4,2018-08-15 03:02:02,2.5,26,Ⅰ,37.27,130.63,경북 울릉군 울릉도 남서쪽 34km 해역
399,3,2018-08-10 21:41:19,2.4,-,Ⅰ,33.21,127.53,제주 서귀포시 동쪽 90km 해역
400,2,2018-08-09 00:23:08,2.1,-,Ⅰ,37.03,125.27,충남 태안군 서격렬비도 북북서쪽 53km 해역
401,1,2018-08-09 00:21:24,2.1,-,Ⅰ,37.03,125.30,충남 태안군 서격렬비도 북북서쪽 51km 해역
