,usim,manufacturer,latitude,longitude,address,facility_type,floor,notice,geometry,sigungu
2854,01232971957,엔티모아,34.252,125.918,전라남도진도군조도면서거차도1길42,SKT1,[지상] 1층/1층층,서거차출장소,POINT (854331.715592684 1585414.8401275373),진도군
2855,01231328771,엔티모아,34.814,127.41,전남 보성군 벌교읍 장암리 238-7,SKT1,[지상] 1층/2층층,벌교출장소,POINT (991768.8092460404 1646605.3589015948),보성군
2856,01232971151,엔티모아,34.338,126.476,어불길12,SKT1,[지상] 1층/1층층,어불도출장소,POINT (905810.169476154 1594293.5649544378),해남군
2857,01232972176,엔티모아,33.471,126.929,제주특별자치도 서귀포시 성산읍 성산리 347-5,SKT1,[지상] 1층/1층층,성산해양파츨소,POINT (946944.4257746061 1497834.8141280557),0
2858,01232972256,엔티모아,34.166,126.593,보길동로424,SKT2,[지상] 1/2층,보길출장소,POINT (916402.4975474438 1575118.5704739373),완도군
2859,01232971828,엔티모아,38.272,128.556,강원도 고성군 토성면 아야진해변길 82-14,SKT2,[지상] 1층/1층층,아야진출장소,POINT (1092371.7189846793 2030706.951220663),고성군
2860,01232971274,엔티모아,34.452,126.465,전남 해남군 화산면 평호길 175-1,SKT1,[지상] 1층/3층,구성출장소,POINT (904927.3386267603 1606945.4832820054),해남군
2861,01232971017,엔티모아,34.808,127.833,경남 남해군 서면 서상리 1316-13,SKT1,[지상] 1/1층,서상출장소,POINT (1030457.6692090121 1645986.8354854917),0
2862,01232973287,엔티모아,36.102,126.617,충남 서천군 비인면 갯벌체험로 958,SKT2,[지상] 1/1층,다사출장소,POINT (920518.9468699996 1789807.7088328474),0
2863,01232972168,엔티모아,35.201,126.143,낙월길1-1,SKT1,[지상] 1/1층,낙월출장소,POINT (876471.1640401178 1690361.8900768857),영광군
2864,01232971952,엔티모아,34.967,127.972,경남 사천시 서포면 비토리 30-3,SKT1,[지상] 1/1층,서포출장소,POINT (1043088.2342401542 1663670.1956523324),사천시
2865,01232971785,엔티모아,34.715,128.584,경남 거제시 남부면 대포길 69-23,SKT1,[지상] 1/1층,가배출장소,POINT (1099260.6369033006 1636158.1493068621),거제시
2866,01232971365,엔티모아,36.034,126.554,전북 군산시 개야도2길 15,SKT1,[지상] 1/1층,해망파출소/개야도출장소,POINT (914774.6788597093 1782318.4485920225),군산시
2867,01232972258,엔티모아,34.94,128.717,경남 거제시 장목면 외포리 57-56,SKT2,[지상] 1/1층,,POINT (1111137.1658931857 1661250.352740737),거제시
2868,01232972020,엔티모아,34.9,128.164,춘암1길 130,SKT1,[지상] 1/1층,맥전포출장소,POINT (1060665.1935899341 1656339.6446044154),고성군
2869,01232971852,엔티모아,35.259,129.244,부산 기장군 일광면 학리등대로 54,SKT1,[지상] 1/1층,학리출장소,POINT (1158648.0443810984 1697344.8591369223),기장군
2870,01232972300,엔티모아,34.715,128.584,경남 거제시 남부면 대포길 69-23,SKT1,[지상] 1/1층,다대출장소,POINT (1099260.6369033006 1636158.1493068621),거제시
2871,01232973388,엔티모아,36.56,128.735,안동시 축제장길 262,SKT1,[지상] 2/3층,안동우편집중국,POINT (1110517.8675814357 1840958.0875718072),안동시
2872,01232972428,엔티모아,34.715,128.584,경남 거제시 남부면 대포길 69-23,SKT1,[지상] 1/1층,저구출장소,POINT (1099260.6369033006 1636158.1493068621),거제시
2873,01232971644,엔티모아,35.325,129.276,기장군 장안읍 월내해안길66,SKT1,[지상] 1/2층,월내출장소,POINT (1161428.1847235423 1704717.1815298176),기장군
2874,01232971173,엔티모아,35.138,126.144,전남 신안군 임자면 도찬리 21-161,SKT1,[지상] 1층/1층층,임자출장소,POINT (876466.9319918958 1683373.3271894597),신안군
