usim	manufacturer	latitude	longitude	address	facility_type	floor	notice
01231322634 (44)	우리넷	37.462	126.918	서울 관악구 신림동 667-78	SKT1	[지상] 5/7층	환풍기옆 벽면.
01231321743 (171)	엔티모아	37.474	126.952	서울 관악구 봉천동 1592-9	SKT1	[지상] 4/6층	분전반 옆
01227587411 (210)	우리넷	35.869	128.546	대구 서구 평리동 1542-8	SKT1	[지상] 4/4층	안쪽 배풍기 옆
01227587886 (212)	우리넷	35.946	128.549	대구 북구 읍내동 1285-23	SKT1	[지상] 1/3층	분전반 하단벽면
01227587639 (218)	우리넷	36.099	128.537	경북 칠곡군 가산면 석우리 900-1	SKT1	[지상] 1/1층	통신접지단자반 아래콘센트
01231322132 (220)	엔티모아	37.58	129.111	강원 동해시 대진항길 61	해양경찰청	[지상] 1층/1층층	묵호파출소 대진출장소
01232971975 (221)	엔티모아	34.975	128.323	경남 고성군 고성읍 성내리 2-17	우정사업본부	[지상] 1/3층	고성우체국
01227587154 (222)	우리넷	35.976	128.555	경북 칠곡군 동명면 구덕리 734-6	SKT1	[지상] 1/1층	벽면 콘센트
01227587389 (223)	우리넷	35.99	129.223	경북 경주시 안강읍 양월리 1357-14	SKT1	[지상] 3/3층	출입문 정면 급기 옆
01227587481 (224)	우리넷	35.892	129.05	경북 경주시 서면 아화리 389-11	SKT1	[지상] 4/4층	입구 정면 콘센트설치
01227587846 (225)	우리넷	35.84	128.61	대구 수성구 중동 416-8	SKT1	[지상] 4/8층	하론앞
01227587849 (226)	우리넷	35.84	128.61	대구 수성구 중동 416-8	SKT2	[지상] 7/8층	타이머 제거 후 취부
01227587328 (227)	우리넷	35.913	128.641	대구 동구 불로동 28-3	SKT1	[지상] 4/5층	AC분전함 콘센트 장착
01227579483 (229)	우리넷	35.879	128.399	대구 달성군 하빈면 하산리 1077-3	SKT1	[지상] 2/3층	기지국 실내 벽부
01227587392 (233)	우리넷	35.966	129.415	경북 포항시 남구 오천읍 세계리 857-16	SKT1	[지상] 4/4층	오천세계W 기지국
01227587621 (234)	우리넷	36.119	128.124	경북 김천시 모암동 160-14	SKT1	[지상] 4/5층	화장실 입구 옆 벽면
01227587626 (236)	우리넷	36.577	128.576	경북 안동시 풍산읍 하리리 234-1	SKT1	[지상] 1/2층	풍산하리W 기지국 실내입구 좌측 벽면
01227587738 (237)	우리넷	36.241	128.3	경북 구미시 선산읍 완전리 200-2	SKT1	[지상] 2/3층	선산완전W
01227587438 (238)	우리넷	35.988	129.356	경북 포항시 남구 연일읍 오천리 396-27	SKT1	[지상] 4/5층	연일오천W 기지국
01227587446 (239)	우리넷	35.843	129.181	경북 경주시 충효동 2961-3	SKT1	[지상] 1/4층	경주충효W
01227587663 (240)	우리넷	36.128	128.101	경북 김천시 부곡동 394-3	SKT1	[지상] 4/4층	김천부곡W
01227587231 (241)	우리넷	36.214	128.333	경북 구미시 고아읍 관심리 414-4	SKT1	[지상] 1/2층	고아관심W
01227587614 (242)	우리넷	36.652	128.456	경북 예천군 예천읍 남본리 176-1	SKT1	[지상] 2/2층	하론소화기위쪽콘센트
01227587615 (243)	우리넷	36.863	129.404	경북 울진군 기성면 망양리 산 52-1	SKT1	[지상] 1/1층	기성망양X
01227587792 (244)	우리넷	37.012	129.409	경북 울진군 울진읍 온양리 388-4	SKT1	[지상] 1/1층	"울진온양W, 하론 앞 벽면 설치"
01227587705 (245)	우리넷	36.249	128.568	경북 군위군 군위읍 정리 376-1	SKT2	[지상] 2/2층	
01227500700 (246)	우리넷	35.9	128.867	경북 영천시 금호읍 남성리 399	SKT1	[지상] 1/1층	출입문 정면 벽면에 설치
01227587662 (247)	우리넷	36.47	128.663	경북 안동시 일직면 귀미리 1022-2	SKT1	[지상] 1/1층	일직구미 기지국 입구 우측 벽면
01227587642 (248)	우리넷	35.813	129.187	경북 경주시 율동 659-1	SKT1	[지상] 2/2층	경주율동W
01227587106 (249)	우리넷	36.002	129.075	경북 영천시 고경면 가수리 237-3	SKT1	[지상] 2/2층	입구오른촉벽면
01227587721 (250)	우리넷	37.059	129.418	경북 울진군 죽변면 죽변리 418-84	SKT1	[지상] 1/1층	"죽변죽변W, 기지국 내부 왼쪽 벽면"
01227587667 (251)	우리넷	36.068	129.371	경북 포항시 북구 창포동 645-2	SKT1	[지상] 2/4층	포항창포W
01227587190 (252)	우리넷	35.98	128.978	경북 영천시 고경면 단포리 268-2	SKT1	[지상] 2/2층	입구왼편 벽면
01227587404 (255)	우리넷	36.549	128.733	경북 안동시 정하동 288-4	SKT1	[지상] 1/2층	안동정하W 기지국 입구 좌측 끝 벽면
01227587596 (256)	우리넷	35.867	129.221	경북 경주시 용강동 1186-3	SKT1	[지상] 3/3층	경주용강W
01227587550 (257)	우리넷	35.774	128.423	대구 달성군 논공읍 금포리 1536-5	SKT1	[지상] 2/3층	축전지옆
01227587851 (258)	우리넷	35.774	128.423	대구 달성군 논공읍 금포리 1536-5	SKT2	[지상] 3/3층	축전지옆
01227587743 (259)	우리넷	36.366	128.296	경북 상주시 낙동면 낙동리 770-3	SKT1	[지상] 1/1층	출입문 우측 하단 벽면
01227587749 (260)	우리넷	35.956	128.692	대구 동구 백안동 415-1	SKT1	[지상] 2/2층	접지단자반 밑
01227587746 (261)	우리넷	36.578	128.716	경북 안동시 안기동 232-14	SKT1	[지상] 3/4층	안동안기 기지국 입구 좌측 벽면
01227587624 (262)	우리넷	36.513	128.157	경북 상주시 공검면 양정리 199-44	SKT1	[지상] 1/1층	
01227587519 (263)	우리넷	35.91	128.636	대구 동구 불로동 141	SKT1	[지상] 2/3층	AC분전반 앞
01227587383 (264)	우리넷	35.91	128.636	대구 동구 불로동 141	SKT2	[지상] 3/3층	AC분전반 앞
01227587330 (265)	우리넷	36.882	128.749	경북 봉화군 봉화읍 거촌리 665	SKT1	[지상] 1/1층	건물내 접지단자반 아래
01227587785 (267)	우리넷	36.678	129.44	경북 울진군 후포면 삼율리 276-8	SKT1	[지상] 1/2층	후포삼율X
01227587320 (268)	우리넷	35.832	128.537	대구 달서구 본동 927-5	SKT1	[지상] 3/6층	냉방기옆 콘센트
01227587362 (269)	우리넷	35.813	128.524	대구 달서구 진천동 516-3	SKT1	[지상] 8/8층	
01227509914 (270)	우리넷	35.855	128.599	대구 중구 대봉동 162-34	SKT1	[지상] 4/6층	
01227579562 (271)	우리넷	35.87	128.591	대구 중구 종로1가 40-2	SKT1	[지상] 8/8층	
01227587572 (272)	우리넷	35.865	128.596	대구 중구 봉산동 34-16	SKT1	[지상] 8/10층	
01227587025 (274)	우리넷	35.87	128.603	대구 중구 동인동2가 72	SKT1	[지상] 8/8층	
01227587394 (276)	우리넷	36.732	129.475	경북 울진군 평해읍 직산리 28-1	SKT1	[지상] 1/1층	평해직산X
01227587712 (277)	우리넷	35.936	128.464	대구 달성군 하빈면 대평리 257	SKT1	[지상] 1/1층	벽면 콘센트
01227587881 (279)	우리넷	35.875	128.623	대구 동구 신천동 81-2	SKT1	[지상] 6/12층	기지국 바로 출입후 하론 옆 콘센트
01227587548 (280)	우리넷	35.829	128.692	대구 수성구 노변동 650	SKT1	[지하] 2/2층	출입문 인근
01227587475 (283)	우리넷	36.562	128.702	경북 안동시 옥동 791-2	SKT1	[지상] 7/7층	안동옥동 기지국 축전지 옆
01227587856 (286)	우리넷	35.645	128.74	경북 청도군 청도읍 고수리 510-1	SKT1	[지상] 4/4층	
01227587820 (287)	우리넷	35.858	128.636	대구 수성구 범어동 205-2	SKT1	[지상] 5/5층	입구옆 판넬벽면
01227587633 (289)	우리넷	36.834	129.436	경북 울진군 기성면 망양리 38	SKT1	[지상] 1/1층	"기성망양2X, 출입문 앞"
01227587841 (291)	우리넷	35.817	128.752	경북 경산시 사동 589	SKT1	[지상] 3/5층	경산사동W 입구 벽면
01227587869 (293)	우리넷	35.854	128.615	대구 수성구 수성동2가 168-4	SKT1	[지상] 8/10층	뒷문입구 옆 판넬
01227587114 (294)	우리넷	35.814	128.774	경북 경산시 신천동 317-1	SKT1	[지상] 1/1층	경산신천W 입구 벽면
01227587357 (295)	우리넷	35.635	128.901	경북 청도군 매전면 남양리 산 53-2	SKT1	[지상] 1/1층	
01227587527 (297)	우리넷	35.959	128.915	경북 영천시 오수동 133-18	SKT2	[지상] 2/2층	장비실 안쪽 좌측 소화설비 옆
01227587400 (298)	우리넷	36.085	128.359	경북 구미시 임은동 479-5	SKT2	[지상] 2/2층	
01227587546 (299)	우리넷	36.085	128.359	경북 구미시 임은동 479-5	SKT2	[지상] 1/2층	
01227587559 (300)	우리넷	36.11	129.347	경북 포항시 북구 흥해읍 성내리 41	SKT1	[지상] 6/7층	흥해성내
01227587388 (301)	우리넷	36.718	129.356	경북 울진군 온정면 소태리 466-2	SKT1	[지상] 1/1층	"온정소태X, 출입문 오른쪽 벽면"
01227587695 (303)	우리넷	36.719	129.394	경북 울진군 온정면 광품리 401-1	SKT1	[지상] 1/1층	"온정광품X, 출입문 오른쪽 벽면"
01227587578 (305)	우리넷	36.801	128.61	경북 영주시 문정동 161	SKT1	[지상] 3/4층	출입문 오른쪽 윗벽면
01227587646 (306)	우리넷	36.032	129.366	경북 포항시 북구 죽도동 15-24	SKT1	[지상] 6/6층	포항죽도2W
01227587685 (307)	우리넷	36.813	128.621	경북 영주시 휴천동 642-462	SKT1	[지상] 3/4층	AC분전함 벽면
01227587817 (308)	우리넷	36.367	128.685	경북 의성군 의성읍 철파리 270-32	SKT2	[지상] 1/1층	출입구 우측
01227587509 (309)	우리넷	36.665	128.614	경북 안동시 북후면 신전리 산 71-2	SKT1	[지상] 1/1층	북후신전 기지국 책상옆
01227587822 (310)	우리넷	35.86	129.268	경북 경주시 북군동 11-1	SKT1	[지상] 8/8층	경주북군W
01227587622 (311)	우리넷	35.774	129.301	경북 경주시 시래동 347-4	SKT1	[지상] 3/3층	경주시래W
01227500595 (312)	우리넷	36.166	128.98	경북 청송군 현서면 무계리 산 21-14	SKT1	[지상] 1/1층	현서무계W
01227587697 (314)	우리넷	35.803	128.622	대구 달성군 가창면 용계리 12-18	SKT1	[지상] 3/4층	입구맞은편 콘크리트벽면
01227587813 (315)	우리넷	35.755	128.737	경북 경산시 남천면 삼성리 292-11	SKT1	[지상] 1/1층	
01227587798 (316)	우리넷	35.791	128.841	경북 경산시 남산면 경리 448-5	SKT1	[지상] 2/2층	
01231300268 (317)	우리넷	36.977	127.928	충북 충주시 교현동 616-2	SKT1	[지상] 5/5층	배터리 옆
01227587593 (318)	우리넷	35.831	128.194	경북 성주군 수륜면 신파리 62-1	SKT1	[지상] 2/4층	출입문 맞은편
01231300061 (320)	우리넷	35.114	126.78	광주 광산구 복룡동 91-24	SKT1	[지상] 2/2층	밧데리실 앞 콘센트
01227587483 (323)	우리넷	36.35	129.382	경북 영덕군 강구면 삼사리 9-13	SKT1	[지상] 1/1층	기지국
01231300092 (324)	우리넷	36.963	127.871	충북 충주시 대소원면 만정리 195-1	SKT1	[지상] 4/6층	충주대W 옆 벽면 설치
01227728286 (325)	우리넷	37.028	127.918	충북 충주시 동량면 용교리 592	SKT1	[지상] 2/2층	출입문 앞
01227587369 (326)	우리넷	36.926	129.261	경북 울진군 금강송면 삼근리 산 58-3	SKT1	[지상] 1/1층	"서면삼근X, 출입문 우측 벽면"
01227587771 (327)	우리넷	35.911	128.816	경북 경산시 하양읍 금락리 117-20	SKT1	[지상] 5/5층	기지국오른쪽벽면/01227587771
01227587623 (328)	우리넷	36.411	129.368	경북 영덕군 영덕읍 남석리 99-11	SKT1	[지상] 3/3층	영덕남석W 기지국 기둥면
01227587486 (329)	우리넷	36.89	128.733	경북 봉화군 봉화읍 내성리 396-3	SKT2	[지상] 2/2층	출입문 왼쪽 하단
01231300120 (330)	우리넷	36.936	127.691	충북 음성군 음성읍 읍내리309-40	SKT1	[지상] 2/3층	
01231300129 (331)	우리넷	36.989	127.928	충북 충주시 금릉동 720	SKT1	[지상] 4/5층	축전지 옆
01227587341 (332)	우리넷	35.987	128.405	경북 칠곡군 왜관읍 왜관리 347-2	SKT2	[지상] 2/2층	출입문 옆
01231307908 (334)	엔티모아	35.167	129.033	부산 부산진구 당감동 680-15	SKT1	[지하] 1/5층	안전수칙 아래 콘센트
01227587515 (335)	우리넷	35.987	128.405	경북 칠곡군 왜관읍 왜관리 347-2	SKT1	[지상] 1/2층	냉방기3호 옆
01227587666 (336)	우리넷	36.516	129.432	경북 영덕군 축산면 축산리 산 5-2	SKT1	[지상] 1/1층	축산축산W 기지국
01231307992 (339)	엔티모아	35.154	129.021	부산 부산진구 개금동 473-6	SKT1	[지상] 3/4층	출입구 들어가자 마자 왼쪽 아래
01227587681 (340)	우리넷	36.919	128.426	충북 단양군 대강면 용부원리 산 13-1	SKT1	[지상] 5/9층	전송렉뒤 소화설비옆 벽면
01227587103 (343)	우리넷	35.75	129.201	경북 경주시 내남면 이조리 1008-142	SKT1	[지상] 1/1층	입구오른편벽면
01231307479 (344)	엔티모아	35.142	129.034	부산 부산진구 가야동 464-121	SKT1	[지상] 7/9층	전산실 내부
01227587588 (345)	우리넷	36.54	129.405	경북 영덕군 영해면 성내리 512-1	SKT1	[지상] 1/1층	영해성내W 기지국
01227587595 (346)	우리넷	35.896	128.804	경북 경산시 하양읍 대조리 27-11	SKT1	[지상] 1/1층	기지국분전반오른쪽벽면/01227587595
01227587767 (347)	우리넷	35.915	128.821	경북 경산시 하양읍 금락리 480	SKT1	[지상] 3/4층	기지국우측벽면
01227587612 (348)	우리넷	35.81	129.487	경북 경주시 감포읍 전동리 688-1	SKT1	[지상] 1/1층	감포전동W
01231300574 (350)	우리넷	36.61	127.489	충북 청주시 서원구 분평동 1250-24	SKT1	[지상] 2/3층	냉방기2호기 옆
01231307561 (352)	엔티모아	35.537	129.31	울산 남구 신정동 700-4	SKT2	[지상] 5/7층	출입문 우측 5m 벽면
01231300006 (354)	우리넷	35.058	126.518	전남 함평군 함평읍 내교리 579	SKT2	[지상] 1/1층	출입문 전실 RMS 하단
01231307607 (355)	엔티모아	35.568	129.359	울산 북구 진장동 578-1	SKT2	[지상] 1/2층	출입문 우측 대각 벽면 10m
01231307744 (356)	엔티모아	35.568	129.359	울산 북구 진장동 578-1	SKT2	[지상] 2/2층	출입문 우측 벽면 3m
01227721327 (357)	우리넷	34.768	127.696	전남 여수시 둔덕동 475-32	SKT1	[지상] 2/4층	기지국사 안쪽 벽면(통신접지 단자반 하단부)
01227587497 (360)	우리넷	36.008	129.336	경북 포항시 남구 효자동 133-1	SKT2	[지상] 1/2층	출입문 오른쪽 벽면
01227587698 (361)	우리넷	36.235	128.565	경북 군위군 군위읍 서부리 255-14	SKT1	[지상] 3/3층	전송렉 옆 콘센트
01227587493 (362)	우리넷	36.008	129.336	경북 포항시 남구 효자동 133-1	SKT2	[지상] 2/2층	출입문 완쪽 벽면
01231300018 (363)	우리넷	35.156	126.867	광주 서구 쌍촌동 237-4	SKT2	[지상] 2/2층	PM02-01/좌측벽면 7M
01231300028 (365)	우리넷	35.257	126.505	전남 영광군 영광읍 녹사리 609-3	SKT2	[지상] 2/2층	하론H01-02우측2M
01231307735 (369)	엔티모아	35.684	127.916	경남 거창군 거창읍 대평리 1158	SKT2	[지상] 2/2층	벽면 설치
01227587600 (370)	우리넷	36.975	128.649	경북 영주시 부석면 노곡리 산 29-6	SKT1	[지상] 1/1층	축전지실 오른쪽 벽면
01227587093 (371)	우리넷	36.937	128.913	경북 봉화군 춘양면 의양리 349-6	SKT1	[지상] 2/2층	통신접지함 하딘벽
01231300252 (372)	우리넷	36.548	127.431	충북 청주시 서원구 남이면 외천리 397-11	SKT1	[지상] 1/1층	출입문으로 들어와 우측 AC분전반 옆 하단
01231307752 (374)	엔티모아	35.536	129.252	울산 남구 무거동 1005-1	SKT2	[지상] 1/2층	출입문 좌측 벽면(하론옆)
01231322632 (375)	우리넷	36.613	127.476	충북 청주시 서원구 분평동 1087	SKT1	[지상] 3/3층	통신접지단자반 좌측 하단(MPR장비 우측)
01231307872 (376)	엔티모아	35.077	128.99	부산 사하구 구평동 191	SKT1	[지상] 4/7층	출입문 오른쪽
01227588061 (378)	우리넷	34.956	127.535	전남 순천시 조례동 1817-1	SKT1	[지상] 2/3층	기지국 벽면(냉방기 우측)
01227588053 (379)	우리넷	35.191	126.855	광주 광산구 신창동 1089-1	SKT1	[지상] 2/3층	하론소화기 옆
01227587249 (382)	우리넷	36.012	128.707	경북 영천시 신녕면 치산리 산 141-5	SKT1	[지상] 1/1층	출입문 좌측 하단벽면
01227586650 (385)	우리넷	35.218	126.842	광주 광산구 쌍암동 657-2	SKT1	[지상] 6/8층	출입문 옆
01231307618 (386)	엔티모아	35.418	127.872	경남 산청군 금서면 매촌리 95-2	SKT2	[지상] 1/1층	
01227587911 (387)	우리넷	34.934	127.489	전남 순천시 덕월동 464-2	SKT1	[지상] 3/4층	출입문 실내 좌측벽면
01231307976 (388)	엔티모아	35.183	129.106	부산 연제구 연산동 479-7	SKT1	[지상] 8/10층	출입문 정면 설치
01231300189 (389)	우리넷	35.196	126.838	광주 광산구 신창동 1129-2	SKT1	[지상] 6/8층	축전지실
01227588033 (390)	우리넷	34.953	127.485	전남 순천시 남내동 65	SKT1	[지상] 9/9층	국사 내 W장비 앞 벽면
01231307972 (391)	엔티모아	35.191	129.086	부산 연제구 연산동 582-6	SKT1	[지상] 9/9층	출입문 오른쪽 냉방기 옆 설치
01227588077 (392)	우리넷	34.605	127.787	전남 여수시 돌산읍 율림리 443-4	SKT1	[지상] 1/1층	출입구앞 MAIN 분전함 하단 벽면
01231300227 (393)	우리넷	37.132	128.202	충북 제천시 영천동 29	SKT1	[지상] 1/1층	분전반
01231307716 (394)	엔티모아	35.183	129.08	부산 연제구 연산동 702-9	SKT1	[지상] 15/17층	출입문 왼쪽 축전지 환풍기 위 설치
01227587725 (395)	우리넷	35.844	129.233	경북 경주시 동천동 946-6	SKT1	[지상] 1/2층	경주동천W
01227587485 (396)	우리넷	35.842	128.487	대구 달서구 호산동 709-9	SKT1	[지상] 1/2층	입구 좌측 리튬축전지 옆
01231300007 (397)	우리넷	37.182	128.196	충북 제천시 신월동 579	SKT1	[지상] 6/6층	냉방기1호기 옆 벽면 콘센트
01227587471 (398)	우리넷	35.842	128.487	대구 달서구 호산동 709-9	SKT2	[지상] 2/2층	입구 우측 벽면
01227729736 (399)	우리넷	35.19	126.814	광주 광산구 장덕동 1611	SKT1	[지상] 6/7층	냉방기 앞 설치
01231300316 (400)	우리넷	36.968	127.486	충북 음성군 오태로99번길 9	SKT1	[지상] 6/7층	출입문 좌측 앞
01227729488 (401)	우리넷	34.734	127.725	전남 여수시 봉산동 246-11	SKT2	[지상] 2/2층	정류기 RT02-01 죄측3M벽기둥
01231307795 (403)	엔티모아	35.825	127.148	전북 전주시 완산구 서노송동 578-5	SKT1	[지상] 10/10층	기지국내 콘센트
01231307748 (404)	엔티모아	34.975	128.331	경남 고성군 고성읍 동외리 180-1	SKT2	[지상] 2/2층	출입구 정면에서 안쪽으로 정류기 뒷편 설치
01227587031 (405)	우리넷	34.734	127.725	전남 여수시 봉산동 246-11	SKT2	[지상] 1/2층	축전지BA01-02우측3M벽
01231316267 (406)	엔티모아	36.784	127.005	충남 아산시 온천동 299-10	SKT2	[지상] 2/3층	출입문 좌측하단
01227723476 (407)	우리넷	33.248	126.569	제주특별자치도 서귀포시 서귀동 251-1	SKT1	[지상] 12/13층	출입문 옆
01231300551 (408)	우리넷	36.484	127.717	충북 보은군 보은읍 삼산리 156-34	SKT1	[지상] 3/4층	출입문 앞 콘센트 설치
01231300144 (409)	우리넷	36.784	127.005	충남 아산시 온천동 299-10	SKT2	[지상] 3/3층	장비실끝 벽면하단
01231300067 (410)	우리넷	33.265	126.567	제주특별자치도 서귀포시 동홍동 1137-12	SKT1	[지상] 1/4층	출입문 옆
01231300022 (411)	우리넷	33.263	126.616	제주특별자치도 서귀포시 하효동 147-10	SKT1	[지상] 1/4층	출입문 옆
01231300083 (412)	우리넷	35.19	126.824	광주 광산구 수완동 1424	SKT1	[지상] 7/9층	하론소화기 옆
01231307572 (413)	엔티모아	34.867	128.442	경남 통영시 용남면 동달리 851-2	SKT2	[지상] 2/2층	출입문 왼쪽 통신접지단자반 아래
01231307533 (414)	엔티모아	34.867	128.442	경남 통영시 용남면 동달리 851-2	SKT2	[지상] 1/2층	출입구 우측 축전지 뒤 설치
01231308024 (415)	엔티모아	35.173	129.097	부산 수영구 망미동 774-5	SKT1	[지상] 6/5층	냉방기 외쪽 벽 설치
01231300436 (416)	우리넷	36.926	127.474	충북 진천군 이월면 미잠리 87-10	SKT1	[지상] 1/1층	좌측벽면
01231300052 (417)	우리넷	35.208	126.809	광주 광산구 오선동 547-5	SKT1	[지상] 3/4층	뒤쪽 벽ㆍ 접지단자
01231307906 (418)	엔티모아	35.155	129.131	부산 수영구 민락동 110-35	SKT1	[지상] 9/7층	캐비닛형 자동소화기기 왼쪽 설치
01231307672 (419)	엔티모아	34.841	128.42	경남 통영시 서호동 163-14	SKT2	[지상] 3/6층	출입구 죄측 하론 옆
01231308165 (420)	엔티모아	35.242	129.214	부산 기장군 기장읍 대라리 419-15	SKT1	[지상] 2/11층	1X 장비실 내부 책상앞
01231300071 (421)	우리넷	36.198	127.756	충북 영동군 영동읍 오탄리 727-1	SKT2	[지상] 2/2층	냉방기 1호기 좌측
01231307934 (422)	엔티모아	35.167	129.122	부산 수영구 수영동 518	SKT1	[지상] 10/10층	캐비닛형 자동소화기기 왼쪽 설치
01231307547 (423)	엔티모아	35.078	129.063	부산 영도구 동삼동 516-43	SKT1	[지상] 4/4층	지혜관 옥상 실내 기지국 출입문 오른쪽
01231300504 (424)	우리넷	36.195	127.755	충북 영동군 영동읍 오탄리 701	SKT2	[지상] 1/2층	통신접지단자반 아래
01231300333 (426)	우리넷	36.934	127.333	충북 진천군 백곡면 양백리 1-1	SKT1	[지상] 1/1층	정면 우측벽
01231300137 (427)	우리넷	34.92	126.747	전남 나주시 세지면 오봉리 727-179	SKT1	[지상] 1/4층	출입문 앞 벽면
01231307823 (428)	엔티모아	35.153	129.112	부산 수영구 광안동 168-3	SKT1	[지상] 5/13층	기지국현황판 왼쪽 설치
01231307410 (429)	엔티모아	35.071	129.069	부산 영도구 동삼동 480-1	SKT1	[지상] 4/4층	안쪽 화이트보드 옆
01227723653 (430)	우리넷	35.309	127.429	전남 구례군 산동면 시상리 329-1	SKT1	[지상] 1/1층	밤재터널F 도너 Open RACK 뒷편 벽면
01227587834 (431)	우리넷	34.978	127.583	전남 광양시 광양읍 칠성리 138-5	SKT1	[지상] 3/4층	W기지국 뒷편 벽면
01227727556 (432)	우리넷	33.494	126.679	제주 제주시 조천읍 와산리 873-1	SKT1	[지상] 1/1층	
01231307569 (433)	엔티모아	35.078	129.07	부산 영도구 동삼동 317-8	SKT1	[지상] 12/12층	출입문 오른쪽 화이트보드판 밑
01227588038 (434)	우리넷	34.965	127.555	전남 광양시 광양읍 덕례리 1365-24	SKT1	[지상] 1/1층	밧데리 상단 환풍기 옆 벽면
01231300105 (435)	우리넷	34.938	126.712	전남 나주시 세지면 죽동리 227-11	SKT1	[지상] 1/1층	출입문 앞 벽면
01231300367 (436)	우리넷	36.312	127.578	충북 옥천군 옥천읍 문정리 505-3	SKT2	[지상] 2/2층	냉방기3호기 우측
01231307602 (437)	엔티모아	35.249	128.871	경남 김해시 구산동 1070-2	SKT2	[지상] 1/2층	
01231307713 (438)	엔티모아	35.627	129.354	울산 북구 호계동 279-16	SKT2	[지상] 2/3층	출입문 좌측 5M
01231300549 (439)	우리넷	36.312	127.578	충북 옥천군 옥천읍 문정리 505-3	SKT2	[지상] 1/2층	냉방기 1호기 오른쪽
01227587671 (440)	우리넷	35.173	126.808	광주 광산구 월곡동 313-29	SKT1	[지상] 4/4층	입구 책상옆
01231300314 (441)	우리넷	37.146	128.213	충북 제천시 청전동 134-6	SKT2	[지상] 2/2층	H02-01하론 좌측 1M
01231300281 (442)	우리넷	37.146	128.213	충북 제천시 청전동 134-6	SKT2	[지상] 1/2층	냉방기 A01-02 우측 2M
01231300233 (443)	우리넷	36.99	127.934	충북 충주시 연수동 659-2	SKT2	[지상] 2/2층	통신접지반 아래
01231307278 (444)	엔티모아	35.632	129.35	울산 북구 신천동 318-7	SKT2	[지상] 4/4층	출입문 우측 벽면 8M
01227729624 (445)	우리넷	35.216	126.849	광주 광산구 쌍암동 694-136	SKT2	[지상] 2/2층	출입문 좌측 하단 콘센트
01231307601 (446)	엔티모아	35.56	129.337	울산 중구 반구동 100-4	SKT2	[지상] 3/3층	출입문 우측벽면 2M
01227587448 (447)	우리넷	36.11	128.419	경북 구미시 황상동 321-2	SKT1	[지상] 1/2층	
01231307512 (448)	엔티모아	35.56	129.337	울산 중구 반구동 100-4	SKT2	[지상] 3/3층	출입문 우측벽면 2M
01227587443 (449)	우리넷	36.11	128.419	경북 구미시 황상동 321-2	SKT2	[지상] 2/2층	
01231300049 (450)	우리넷	36.777	126.494	충남 서산시 수석동195	SKT2	[지상] 1/2층	출입문 앞
01231300309 (451)	우리넷	36.777	126.494	충남 서산시 수석동 195	SKT2	[지상] 2/2층	출입문 앞
01227587470 (452)	우리넷	34.572	126.609	전남 해남군 해남읍 해리 154-1	SKT2	[지상] 1/1층	출입문벽좌측하단
01227587293 (453)	우리넷	36.138	128.443	경북 구미시 산동면 봉산리 387-16	SKT2	[지상] 3/3층	
01227587508 (454)	우리넷	36.138	128.443	경북 구미시 산동면 봉산리 387-16	SKT1	[지상] 2/3층	
01231307770 (455)	엔티모아	35.086	128.88	부산 강서구 신호동 214-12	SKT2	[지상] 3/3층	접지단자반밑
01227587575 (456)	우리넷	34.873	127.706	전남 여수시 묘도동 924-1	SKT1	[지상] 1/1층	벽면
01231300155 (457)	우리넷	36.437	126.797	충남 청양군 청양읍 벽천리 141-2	SKT2	[지상] 1/2층	통신접지단자반 밑
01231300283 (458)	우리넷	36.437	126.797	충남 청양군 청양읍 벽천리 141-2	SKT2	[지상] 2/2층	EPS실 앞
01231307626 (459)	엔티모아	35.323	129.257	부산 기장군 장안읍 반룡리 689-1	SKT1	[지상] 1/1층	출입문 우측
01231307771 (460)	엔티모아	35.315	129.173	부산 기장군 매학리 136-3	SKT1	[지상] 2/4층	좌측 축전지
01231307563 (461)	엔티모아	35.23	129.157	부산 해운대구 반송동 897	SKT1	[지상] 7/7층	출입문 왼쪽문 안 소화전 옆설치
01231307275 (462)	엔티모아	35.208	129.123	부산 해운대구 반여동 885-3	SKT1	[지상] 2/5층	출입문 옆 설치
01231315852 (463)	엔티모아	36.694	126.831	충남 예산군 예산읍 산성리 635	SKT2	[지상] 1/2층	출입문 우측 벽
01227587232 (464)	우리넷	35.934	128.305	경북 성주군 성주읍 삼산리 23-1	SKT2	[지상] 1/1층	접지단자반 아래
01231315583 (466)	엔티모아	35.821	127.141	전북 전주시 완산구 고사동 296-1	SKT1	[지상] 3/5층	
01231300530 (467)	우리넷	36.707	127.73	충북 괴산군 청안면 부흥리 166-1	SKT2	[지상] 1/1층	통신접지단자반 하단 벽
01227723549 (468)	우리넷	35.187	126.908	광주광역시 북구 오치동957-12	SKT2	[지상] 2/2층	책상엎벽콘센트
01231300299 (469)	우리넷	36.84	127.129	충남 천안시 서북구 성성동 670	SKT2	[지상] 6/6층	상면 H열 12번 전안성성wt2 2.7M엡 벽면
01231300300 (470)	우리넷	36.694	126.831	충남 예산군 예산읍 산성리 635	SKT2	[지상] 2/2층	하론 02-02 좌측 벽
01231300177 (471)	우리넷	36.885	126.733	충남 당진시 송악읍 봉교리 336-28	SKT2	[지상] 2/2층	냉방기 옆
01231307782 (472)	엔티모아	35.338	128.193	경남 의령군 칠곡면 신포리 549-1	SKT2	[지상] 1/1층	
