usim	manufacturer	latitude	longitude	address	facility_type	floor	notice
01231322568 (2048)	엔티모아	37.149	129.35	강원 삼척시 원덕읍 월천리 산 86-1	SKT1	[지상] 1/1층	AC분전함 위 시설
01231321622 (2049)	엔티모아	37.662	127.835	강원 홍천군 홍천읍 하오안리 396	SKT1	[지상] 1/1층	기지국 출입구 옆벽면
01231322242 (2051)	엔티모아	38.202	128.352	강원도 인제군 북면 용대리 산 27	SKT1	[지상] 1/1층	컨테이너내벽
01231322340 (2053)	엔티모아	37.676	127.932	강원 홍천군 동면 속초리 876-39	SKT1	[지상] 1/1층	기지국 벽면
01231322413 (2054)	엔티모아	37.177	129.333	강원 삼척시 원덕읍 호산리 366-2	SKT2	[지상] 1/1층	컨테이너 출입문 왼쪽 콘센트
01231322518 (2055)	엔티모아	38.106	128.19	강원도 인제군 인제읍 가아리 산155-2	SKT1	[지상] 1/1층	컨테이너 내벽
01231322567 (2056)	엔티모아	38.066	128.174	강원도 인제군 인제읍 상동리 90	SKT2	[지상] 1/1층	컨테이너 내벽
01231322626 (2058)	엔티모아	37.256	129.329	강원 삼척시 원덕읍 갈남리 산 103-1	SKT2	[지상] 1/1층	컨테이너 문앞 하단 콘센트
01231322389 (2060)	엔티모아	37.748	127.956	강원 홍천군 화촌면 구성포리 산 88-1	SKT2	[지상] 1/1층	기지국 벽면 설치
01231322503 (2061)	엔티모아	37.328	129.266	강원 삼척시 근덕면 궁촌리 200-2	SKT1	[지상] 1/1층	컨테이너 내부 AC분전함 옆 콘센트
01231322461 (2062)	엔티모아	38.01	128.193	강원 인제군 인제읍 원대리 769-6	SKT1	[지상] 1/1층	컨테이너 기지국 내부
01231322441 (2063)	엔티모아	38.009	128.271	강원도 인제군 인제읍 하추리 517-6	SKT2	[지상] 1/1층	컨테이너 내벽
01231322186 (2064)	엔티모아	37.614	129.05	강원 강릉시 옥계면 주수리 113-1	SKT2	[지상] 1/1층	출입문 좌측 콘센트
01231322576 (2065)	엔티모아	38.016	128.36	귀둔리 708-1	SKT2	[지상] 1/1층	컨테이너 내벽
01231322202 (2067)	엔티모아	37.937	128.381	강원 인제군 기린면 방동리 263	SKT1	[지상] 1/1층	인제방동2기지국
01231322333 (2068)	엔티모아	37.688	129.032	강원 강릉시 강동면 정동진리 282	SKT1	[지상] 1/1층	국사내 출입문 우측 AC분전반 좌측 콘센트
01231322240 (2071)	엔티모아	37.589	127.832	강원 홍천군 남면 시동리 902	SKT1	[지상] 1/1층	기지국 벽면설치
01231321986 (2072)	엔티모아	38.07	128.274	인제읍 덕적리 219-1	SKT1	[지상] 1/1층	컨테이너 내벽
01231322164 (2073)	엔티모아	37.599	127.733	강원 홍천군 남면 화전리 827-6	SKT1	[지상] 1/1층	기지국 벽면 설치
01231322532 (2074)	엔티모아	37.37	128.915	강원 삼척시 하장면 갈전리 9-3	SKT2	[지상] 1/1층	컨테이너 출입문 오른쪽 하단 콘센트
01231322298 (2075)	엔티모아	38.114	127.399	강원 철원군 서면 자등리 산 260	SKT1	[지상] 1/1층	콘센트 설치
01231322426 (2076)	엔티모아	37.754	127.795	강원 춘천시 동산면 봉명리 546	SKT1	[지상] 1/1층	기지국 입구옆 벽면
01231322332 (2077)	엔티모아	37.84	127.713	강원 춘천시 칠전동 619-4	SKT1	[지상] 4/4층	기지국 실내하론옆 콘센트 설치
01231321604 (2078)	엔티모아	37.464	127.086	서울 서초구 내곡동 1-1070	SKT1	[지상] 1/1층	냉방기1호기-2호기 중간 콘센트
01231322444 (2079)	엔티모아	37.614	127.756	강원 홍천군 남면 화전리 274-5	SKT2	[지상] 1/1층	기지국 벽면 설치
01231322390 (2080)	엔티모아	38.165	127.41	강원 철원군 서면 자등리 997-3	SKT1	[지상] 1/1층	자등기지국
01231322054 (2081)	엔티모아	37.646	127.845	강원 홍천군 홍천읍 장전평리 976-1	SKT1	[지상] 1/1층	기지국 벽면 설치
01231300089 (2082)	우리넷	36.888	127.816	괴산군 불정면 앵천리 151-5	SKT1	[지상] 1/1층	
01231322121 (2083)	엔티모아	37.842	128.021	강원 홍천군 두촌면 역내리 93-5	SKT1	[지상] 1/1층	컨테이너 기지국 내부
01231322285 (2084)	엔티모아	37.707	128.999	강원 강릉시 강동면 모전리 26-3	SKT1	[지상] 1/1층	컨테이너 내벽
01231322630 (2085)	엔티모아	37.651	128.514	강원 평창군 진부면 하진부리 1283-8	SKT1	[지상] 1/1층	컨테이너 안쪽 벽 칠판옆
01231322451 (2086)	엔티모아	37.983	127.61	강원 춘천시 사북면 지암리 225-5	SKT2	[지상] 1/1층	컨터이너형 기지국
01231322397 (2088)	엔티모아	37.291	128.33	강원 영월군 주천면 판운리 산 385-1	SKT1	[지상] 1/1층	컨테이너 기지국
01231322243 (2089)	엔티모아	37.711	127.801	북방면 굴지리107-3	SKT1	[지상] 1/1층	컨테이너형 기지국
01231300019 (2090)	우리넷	36.996	128.164	충북 제천시 청풍면 물태리 144-13	SKT2	[지상] 1/1층	"컨테이너형 기지국, 냉방기 컨트롤러 밑"
01231322600 (2091)	엔티모아	37.542	128.964	강원 강릉시 옥계면 남양리 산 287-1	SKT1	[지상] 1/1층	통신단자함 뒤쪽 설치 / 컨테이너형 기지국
01231322127 (2092)	엔티모아	37.705	127.843	홍천군 북방면 하화계리684-1	SKT1	[지상] 1/1층	컨테이너형 기지국
01231322428 (2094)	엔티모아	37.738	128.872	강원 강릉시 회산동 31-5	SKT1	[지상] 1/1층	컨테이너 내벽설치
01231322616 (2095)	엔티모아	37.25	128.775	남면 무릉리822	SKT1	[지상] 1/1층	컨테이너형 기지국 DU옆 벽면부착
01231322751 (2096)	엔티모아	37.505	128.932	가목리 산14-4	SKT1	[지상] 1/1층	접지 단자반 아래쪽 설치 / 컨테이너형 기지국
01231321815 (2097)	엔티모아	37.233	128.328	강원 영월군 한반도면 신천리 산 189-4	SKT1	[지상] 1/1층	컨테이너 기지국
01231322743 (2099)	엔티모아	37.214	128.825	고한리 산 1-240	SKT2	[지상] 1/1층	컨테이너형 기지국 출입문 옆벽면
01231322545 (2100)	엔티모아	37.778	128.886	강원 강릉시 교동 1274-1번지	SKT1	[지상] 1/1층	컨테이너 내벽설치
01231322539 (2102)	엔티모아	37.415	128.161	강원 횡성군 안흥면 안흥리 70-7	SKT1	[지상] 1/1층	좌측 벽면 하론옆
01231322122 (2103)	엔티모아	37.675	127.743	홍천 북방면 노일리550-1	SKT2	[지상] 1/1층	컨테이너형 기지국
01231322703 (2104)	엔티모아	37.489	128.849	강원 정선군 임계면 봉산리 산 83-1	SKT1	[지상] 1/1층	게시판아래 설치 / 컨테이너형 기지국
01231322834 (2105)	엔티모아	37.488	127.892	강원 횡성군 서원면 압곡리 56-2	SKT1	[지상] 1/1층	압곡기지국 컨테이너
01231322066 (2106)	엔티모아	37.844	128.838	강원 강릉시 사천면 석교리 334-11	SKT1	[지상] 1/1층	컨테이너 내벽설치
01231322436 (2107)	엔티모아	37.66	127.765	홍천군 남면 용수리106-8	SKT1	[지상] 1/1층	컨테이너형 기지국
01231322768 (2108)	엔티모아	37.822	128.158	강원 홍천군 내촌면 와야리10-5	SKT2	[지상] 1/1층	컨테이너 기지국 내부
01231322593 (2109)	엔티모아	37.349	127.864	원주시 지정면 보통리 산 109	SKT1	[지상] 1/1층	컨테이너 문 옆
01231322584 (2110)	엔티모아	37.172	127.885	강원 원주시 귀래면 운남리 1132	SKT1	[지상] 1/1층	원주귀래면기지국
01231322758 (2111)	엔티모아	37.346	128.556	강원 평창군 미탄면 백운리 산 20	SKT2	[지상] 1/1층	컨테이너 안 배터리 옆
01231322628 (2112)	엔티모아	37.46	128.182	강원 횡성군 둔내면 영랑리 509	SKT2	[지상] 1/1층	우측 벽면 전원함옆 컨테이너기지국
01231322663 (2113)	엔티모아	37.135	129.032	강원 태백시 철암동 200-10	SKT2	[지상] 1/1층	태백백산기지국 냉방기 옆 설치
01231322723 (2114)	엔티모아	37.492	128.834	봉산리 산129	SKT1	[지상] 1/1층	출입구 오른쪽 벽면 / 컨테이너형 기지국
01231322543 (2115)	엔티모아	37.484	127.81	강원 횡성군 서원면 석화리 산 268	SKT1	[지상] 1/1층	횡성석화3기지국 컨테이너
01231322423 (2116)	엔티모아	37.895	128.034	강원 홍천군 두촌면 장남리 434	SKT1	[지상] 1/1층	기지국 벽면설치
01231322733 (2117)	엔티모아	37.869	128.108	강원 홍천군 두촌면 괘석리 435-1	SKT1	[지상] 1/1층	컨테이너 기지국 내부
01231322669 (2118)	엔티모아	37.11	129.001	강원 태백시 장성동 211-77	SKT1	[지상] 1/1층	태백계산기지국 냉방기 옆 설치
